,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mahebourg,-20.4081,57.7,86.0,66,75,11.5,MU,1612944564
1,honningsvag,70.9821,25.9704,23.0,86,90,23.02,NO,1612944564
2,vaini,-21.2,-175.2,78.8,94,40,13.8,TO,1612944565
3,guerrero negro,27.9769,-114.0611,55.29,86,0,9.95,MX,1612944565
4,nuuk,64.1835,-51.7216,26.6,80,75,2.3,GL,1612944565
5,sisak,45.4661,16.3783,39.99,93,90,3.44,HR,1612944565
6,tugolesskiy bor,55.5505,39.8242,9.07,93,93,7.83,RU,1612944566
7,horsham,51.064,-0.3272,30.99,74,40,9.22,GB,1612944557
8,beatrice,40.2681,-96.747,6.8,66,90,8.05,US,1612944566
9,rikitea,-23.1203,-134.9692,78.93,73,68,9.98,PF,1612944566
10,ola,59.5833,151.2833,19.89,91,98,31.68,RU,1612944566
11,busselton,-33.65,115.3333,66.0,79,24,5.01,AU,1612944567
12,muros,42.7762,-9.0603,41.0,87,40,4.61,ES,1612944567
13,hamilton,39.1834,-84.5333,23.0,74,90,9.22,US,1612944567
14,arlit,18.7369,7.3853,76.57,15,0,9.69,NE,1612944567
15,ushuaia,-54.8,-68.3,57.2,77,0,2.3,AR,1612944401
16,qaanaaq,77.484,-69.3632,12.4,74,0,12.5,GL,1612944568
17,hermanus,-34.4187,19.2345,80.01,63,3,7.58,ZA,1612944568
18,wellington,-41.2866,174.7756,62.6,72,100,19.57,NZ,1612944523
19,kapaa,22.0752,-159.319,69.8,56,90,11.5,US,1612944569
20,nishihara,26.1842,127.7558,68.0,63,90,13.8,JP,1612944569
21,mataura,-46.1927,168.8643,57.31,54,100,9.62,NZ,1612944570
22,fortuna,40.5982,-124.1573,42.01,100,1,2.73,US,1612944570
23,champerico,14.3,-91.9167,66.0,91,100,8.32,GT,1612944570
24,albany,42.6001,-73.9662,19.4,86,75,10.36,US,1612944400
25,alakurtti,66.9672,30.3491,0.25,92,23,3.87,RU,1612944571
26,butaritari,3.0707,172.7902,81.93,80,100,17.11,KI,1612944571
27,puerto ayora,-0.7393,-90.3518,75.99,94,44,5.08,EC,1612944571
28,the valley,18.217,-63.0578,73.99,94,75,14.97,AI,1612944571
29,avarua,-21.2078,-159.775,78.8,89,100,2.3,CK,1612944572
30,punta arenas,-53.15,-70.9167,51.8,82,75,4.61,CL,1612944572
31,sao filipe,14.8961,-24.4956,69.66,74,32,6.93,CV,1612944572
32,airai,-8.9266,125.4092,69.35,97,98,3.65,TL,1612944572
33,hasaki,35.7333,140.8333,50.0,46,75,4.61,JP,1612944573
34,kaitangata,-46.2817,169.8464,59.0,68,97,4.0,NZ,1612944573
35,pacific grove,36.6177,-121.9166,52.0,87,90,3.44,US,1612944500
36,bambous virieux,-20.3428,57.7575,86.0,66,75,11.5,MU,1612944574
37,tezu,27.9167,96.1667,84.25,15,0,3.98,IN,1612944574
38,yellowknife,62.456,-114.3525,-11.0,77,90,14.97,CA,1612944574
39,new norfolk,-42.7826,147.0587,68.0,43,0,1.99,AU,1612944574
40,baykalsk,51.5058,104.1469,21.02,95,100,7.65,RU,1612944574
41,lorengau,-2.0226,147.2712,78.06,87,100,8.61,PG,1612944575
42,santa maria,-29.6842,-53.8069,62.89,93,41,3.47,BR,1612944408
43,axim,4.8699,-2.2405,82.0,80,0,4.12,GH,1612944575
44,council bluffs,41.2619,-95.8608,8.6,61,90,6.91,US,1612944532
45,provideniya,64.3833,-173.3,-7.22,74,0,16.11,RU,1612944576
46,clyde river,70.4692,-68.5914,3.2,92,1,28.77,CA,1612944576
47,kirkwall,58.9848,-2.9587,24.8,74,20,9.73,GB,1612944577
48,sungaipenuh,-2.0833,101.3833,75.87,72,39,5.46,ID,1612944577
49,bubaque,11.2833,-15.8333,77.22,65,75,13.44,GW,1612944577
50,paraibano,-6.4331,-43.9836,67.55,92,71,0.72,BR,1612944578
51,castro,-24.7911,-50.0119,57.43,94,100,5.61,BR,1612944578
52,auki,-8.7676,160.7034,80.19,83,91,8.95,SB,1612944578
53,bethel,41.3712,-73.414,19.99,93,90,6.11,US,1612944357
54,faanui,-16.4833,-151.75,82.08,69,0,14.32,PF,1612944578
55,pisco,-13.7,-76.2167,70.0,88,20,3.44,PE,1612944548
56,sitka,57.0531,-135.33,15.8,41,1,12.66,US,1612944579
57,gunjur,13.2019,-16.7339,64.4,68,100,3.44,GM,1612944579
58,barrow,71.2906,-156.7887,-18.4,69,75,20.71,US,1612944580
59,tasiilaq,65.6145,-37.6368,10.4,67,100,1.14,GL,1612944580
60,mitsamiouli,-11.3847,43.2844,83.08,77,100,18.19,KM,1612944580
61,parbhani,19.2667,76.7833,88.81,12,21,4.09,IN,1612944581
62,east london,-33.0153,27.9116,75.2,83,75,2.3,ZA,1612944581
63,mantua,45.1667,10.7833,48.0,96,100,8.01,IT,1612944581
64,halifax,44.6453,-63.5724,19.4,63,96,6.91,CA,1612944304
65,torbay,47.6666,-52.7314,27.0,93,75,31.07,CA,1612944582
66,hilo,19.7297,-155.09,71.6,64,90,10.36,US,1612944582
